TIME,CONFIRMED,RECOVERED,DEATHS,ACTIVE,CONFIRMED.spb,HOSPITALIZED.today,PCR.tested,v1.CS,v2.CS,Yandex.ACTIVITY.points,CONFIRMED.spb_MAM,CONFIRMED_RES
2020-03-02,0,0,0,0,,,,,,97.0,,0.0
2020-03-03,0,0,0,0,,,,,,100.0,,0.0
2020-03-04,1,0,0,1,,,,,,99.0,,1.0
2020-03-05,0,0,0,1,,,,,,99.0,,0.0
2020-03-06,1,0,0,2,,,,,,100.0,,1.0
2020-03-07,0,0,0,2,,,,,,55.0,,0.0
2020-03-08,0,0,0,2,,,,,,43.0,,0.0
2020-03-09,0,0,0,2,,,,,,43.0,,0.0
2020-03-10,0,0,0,2,,,,,,99.0,,0.0
2020-03-11,0,0,0,2,,,,,,99.0,,0.0
2020-03-12,3,0,0,5,,,,,,98.0,,3.0
2020-03-13,1,0,0,6,,,,,,96.0,,1.0
2020-03-14,0,0,0,6,,,,,,53.0,,0.0
2020-03-15,3,2,0,7,,,,,,38.0,,3.0
2020-03-16,0,0,0,7,,,,,,92.0,,0.0
2020-03-17,0,0,0,7,,,,,,93.0,,0.0
2020-03-18,1,0,0,8,,,,,,87.0,,1.0
2020-03-19,4,0,0,12,,,,,,85.0,,4.0
2020-03-20,2,0,0,14,,,,,,84.0,,2.0
2020-03-21,0,0,0,14,,,,,,43.0,,0.0
2020-03-22,0,0,0,14,,,,,,32.0,,0.0
2020-03-23,5,0,0,19,,,,,,81.0,,5.0
2020-03-24,0,0,0,19,,,,,,81.0,,0.0
2020-03-25,5,3,0,21,,,,,,81.0,,5.0
2020-03-26,0,0,0,21,,,,,,79.0,,0.0
2020-03-27,11,0,0,32,,,,,,80.0,,11.0
2020-03-28,5,0,1,36,,,,,,26.0,,5.0
2020-03-29,8,0,0,44,,,,,,9.0,,8.0
2020-03-30,48,2,1,89,,,,,,26.0,,48.0
2020-03-31,27,0,0,116,,,,,,19.0,,27.0
2020-04-01,22,0,0,138,,,,,,13.0,,22.0
2020-04-02,9,0,0,147,,17.0,,,,12.0,,9.0
2020-04-03,15,0,0,162,,31.0,,,,15.0,,15.0
2020-04-04,20,0,0,182,,19.0,,,,4.0,,20.0
2020-04-05,35,25,0,192,,17.0,2263.0,,,0.0,,35.0
2020-04-06,69,0,0,261,,13.0,3241.0,,,28.0,,69.0
2020-04-07,34,0,0,295,,8.0,6957.0,,,32.0,,34.0
2020-04-08,44,11,2,326,,39.0,3279.0,,,32.0,,44.0
2020-04-09,35,0,0,361,,88.0,8811.0,,,30.0,,35.0
2020-04-10,80,31,0,410,,95.0,6736.0,,,33.0,,80.0
2020-04-11,69,0,0,479,,701.0,7554.0,,,13.0,,69.0
2020-04-12,121,4,0,596,,372.0,5589.0,,,3.0,,121.0
2020-04-13,121,0,0,717,,84.0,1821.0,,,34.0,,121.0
2020-04-14,130,17,1,829,,279.0,4703.0,,,34.0,,130.0
2020-04-15,154,15,2,966,,1129.0,3844.0,,,35.0,,154.0
2020-04-16,424,21,0,1369,,396.0,7900.0,,,34.0,,424.0
2020-04-17,139,101,1,1406,,371.0,9413.0,,,35.0,,139.0
2020-04-18,114,7,0,1513,,176.0,8763.0,,,12.0,,114.0
2020-04-19,86,2,0,1597,,237.0,9222.0,,,4.0,,86.0
2020-04-20,127,39,3,1682,,494.0,4768.0,,,35.0,,127.0
2020-04-21,294,47,3,1926,,517.0,7209.0,,,38.0,,294.0
2020-04-22,191,41,3,2073,,323.0,7471.0,,,38.0,,191.0
2020-04-23,253,43,3,2280,,616.0,8196.0,,,38.0,,253.0
2020-04-24,215,49,3,2443,,385.0,8778.0,,,38.0,,215.0
2020-04-25,151,29,4,2561,,522.0,9335.0,,,19.0,,151.0
2020-04-26,161,0,0,2722,,,8410.0,,,10.0,,161.0
2020-04-27,198,55,0,2865,,446.0,5821.0,,,41.0,,198.0
2020-04-28,290,164,2,2989,,385.0,5000.0,,,42.0,,290.0
2020-04-29,336,71,0,3254,,374.0,10863.0,,,41.0,,336.0
2020-04-30,349,0,4,3599,,344.0,12213.0,,,46.0,,349.0
2020-05-01,323,98,0,3824,,580.0,7362.0,,,23.0,,323.0
2020-05-02,295,184,1,3934,,113.0,7737.0,,,24.0,,295.0
2020-05-03,317,136,3,4112,,1038.0,5379.0,,,13.0,,317.0
2020-05-04,226,271,0,4067,,297.0,3104.0,,,26.0,,226.0
2020-05-05,312,64,3,4312,,759.0,5241.0,,,29.0,,312.0
2020-05-06,306,20,4,4594,,544.0,4594.0,,,49.0,,306.0
2020-05-07,375,45,4,4920,,772.0,7241.0,,,46.0,,375.0
2020-05-08,425,65,5,5275,,564.0,11324.0,,,48.0,,425.0
2020-05-09,414,12,0,5677,,694.0,12562.0,,,22.0,,414.0
2020-05-10,307,7,3,5974,,580.0,9182.0,,,23.0,,307.0
2020-05-11,339,103,2,6208,,578.0,2847.0,,,27.0,,339.0
2020-05-12,435,64,5,6574,,1056.0,7572.0,,,51.0,,435.0
2020-05-13,460,51,6,6977,,543.0,9146.0,,,53.0,,460.0
2020-05-14,541,106,5,7407,,711.0,10613.0,,,52.0,,541.0
2020-05-15,525,104,6,7822,,581.0,11728.0,,,52.0,,525.0
2020-05-16,451,66,5,8202,,196.0,13827.0,,,26.0,,451.0
2020-05-17,425,34,5,8588,,903.0,8200.0,,,20.0,,425.0
2020-05-18,453,63,5,8973,,616.0,2792.0,,,53.0,,453.0
2020-05-19,455,208,4,9216,,772.0,13330.0,,,57.0,,455.0
2020-05-20,408,181,5,9438,,1140.0,11351.0,,,56.0,,408.0
2020-05-21,389,198,3,9626,,366.0,13766.0,,,53.0,,389.0
2020-05-22,363,265,6,9718,,878.0,14407.0,,,58.0,,363.0
2020-05-23,384,328,20,9754,,696.0,14608.0,,,36.0,,384.0
2020-05-24,374,138,5,9985,,545.0,10365.0,,,29.0,,374.0
2020-05-25,363,154,12,10182,,701.0,3312.0,,,64.0,,363.0
2020-05-26,387,714,8,9847,,754.0,11036.0,,,67.0,,387.0
2020-05-27,383,325,9,9896,,190.0,12692.0,,,67.0,,383.0
2020-05-28,369,330,11,9924,,769.0,14293.0,,,64.0,,369.0
2020-05-29,365,260,13,10016,,919.0,14648.0,,,67.0,,365.0
2020-05-30,369,307,13,10065,,744.0,13972.0,,,41.0,,369.0
2020-05-31,364,68,9,10352,,565.0,10124.0,,,28.0,,364.0
2020-06-01,376,260,10,10458,,744.0,4663.0,,,69.0,,376.0
2020-06-02,380,323,17,10498,,674.0,11352.0,,,72.0,,380.0
2020-06-03,375,364,24,10485,,775.0,13336.0,,,71.0,,375.0
2020-06-04,378,381,27,10455,,655.0,15311.0,,,66.0,,378.0
2020-06-05,347,386,55,10361,,785.0,22397.0,,,69.0,,347.0
2020-06-06,340,297,31,10373,,599.0,22479.0,,,38.0,,340.0
2020-06-07,326,156,15,10528,,454.0,18850.0,,,37.0,,326.0
2020-06-08,318,186,41,10619,,1029.0,12175.0,,,74.0,,318.0
2020-06-09,313,420,49,10463,,718.0,18802.0,,,76.0,,313.0
2020-06-10,303,343,38,10385,,612.0,21585.0,,,76.0,,303.0
2020-06-11,274,412,41,10206,,661.0,20592.0,,,75.0,,274.0
2020-06-12,262,285,8,10175,,759.0,25793.0,,,49.0,,262.0
2020-06-13,256,116,28,10287,,519.0,21042.0,,,47.0,,256.0
2020-06-14,252,62,38,10439,,489.0,15405.0,,,41.0,,252.0
2020-06-15,234,232,54,10387,,693.0,13502.0,,,81.0,,234.0
2020-06-16,228,716,38,9861,,473.0,20284.0,,,81.0,,228.0
2020-06-17,231,637,29,9426,,769.0,18545.0,,,82.0,,231.0
2020-06-18,228,847,37,8770,,569.0,23137.0,,,83.0,,228.0
2020-06-19,232,794,21,8187,,457.0,23428.0,,,82.0,,232.0
2020-06-20,229,498,26,7892,,414.0,22900.0,,,52.0,,229.0
2020-06-21,217,184,29,7896,,189.0,19974.0,,,42.0,,217.0
2020-06-22,220,221,35,7860,,550.0,11637.0,,,84.0,,220.0
2020-06-23,218,643,38,7397,,163.0,16675.0,,,87.0,,218.0
2020-06-24,221,589,19,7010,,358.0,17513.0,,,55.0,,221.0
2020-06-25,223,395,47,6791,,446.0,17364.0,,,87.0,,223.0
2020-06-26,224,716,57,6242,,525.0,20875.0,,,87.0,,224.0
2020-06-27,217,598,21,5840,,358.0,21201.0,,,58.0,,217.0
2020-06-28,219,247,19,5793,,216.0,15911.0,,,43.0,,219.0
2020-06-29,253,254,31,5761,,375.0,10975.0,,,89.0,,253.0
2020-06-30,262,845,46,5132,,356.0,15857.0,,,85.0,,262.0
2020-07-01,258,849,45,4496,,242.0,16966.0,,,52.0,,258.0
2020-07-02,263,491,45,4223,,298.0,16426.0,,,87.0,,263.0
2020-07-03,271,251,31,4212,,314.0,18221.0,,,89.0,,271.0
2020-07-04,275,248,42,4197,,218.0,19532.0,,,56.0,,275.0
2020-07-05,280,180,44,4253,,223.0,17036.0,,,36.0,,280.0
2020-07-06,278,185,48,4298,,239.0,11047.0,,,88.0,,278.0
2020-07-07,295,193,47,4353,,250.0,13857.0,,,91.0,,295.0
2020-07-08,292,182,36,4427,,293.0,14737.0,,,89.0,,292.0
2020-07-09,300,156,21,4550,,180.0,17801.0,,,90.0,,300.0
2020-07-10,296,181,42,4623,,237.0,19586.0,,,90.0,,296.0
2020-07-11,293,162,20,4734,,240.0,18709.0,,,50.0,,293.0
2020-07-12,291,152,23,4850,,127.0,14856.0,,,46.0,,291.0
2020-07-13,281,194,31,4906,,236.0,9621.0,,,89.0,,281.0
2020-07-14,264,167,19,4984,,152.0,13195.0,,,92.0,,264.0
2020-07-15,256,149,22,5069,,218.0,15676.0,,,91.0,,256.0
2020-07-16,244,156,30,5127,,212.0,14581.0,,,91.0,,244.0
2020-07-17,238,161,27,5177,,258.0,17019.0,,,93.0,,238.0
2020-07-18,202,101,26,5252,,238.0,15719.0,,,65.0,,202.0
2020-07-19,195,112,26,5309,,168.0,13272.0,,,51.0,,195.0
2020-07-20,189,93,27,5378,,204.0,8646.0,,,91.0,,189.0
2020-07-21,186,95,28,5441,,280.0,14391.0,,,93.0,,186.0
2020-07-22,184,101,19,5505,,256.0,14962.0,,,86.0,,184.0
2020-07-23,181,93,27,5566,,186.0,18348.0,,,89.0,,181.0
2020-07-24,179,82,28,5635,,216.0,17016.0,,,91.0,,179.0
2020-07-25,175,79,9,5722,,172.0,16894.0,,,52.0,,175.0
2020-07-26,172,75,10,5809,,135.0,13211.0,,,56.0,,172.0
2020-07-27,168,81,23,5873,,,9770.0,,,94.0,,168.0
2020-07-28,165,75,23,5940,,205.0,10801.0,,,89.0,,165.0
2020-07-29,162,93,22,5987,,219.0,12971.0,,,90.0,,162.0
2020-07-30,159,78,20,6048,,194.0,15357.0,,,91.0,,159.0
2020-07-31,161,96,9,6104,,225.0,17047.0,,,86.0,,161.0
2020-08-01,163,86,4,6177,,153.0,19541.0,,,62.0,,163.0
